;data;PFT
0;6.28;BS
1;5.25;BS
2;5.53;BS
3;5.90;BS
4;6.89;BS
5;5.53;BS
6;5.90;BS
7;2.98;BS
8;5.74;BS
9;4.51;BS
10;4.82;BS
11;6.04;BS
12;6.13;BS
13;4.41;BS
14;4.99;BS
15;5.21;BS
16;;BS
17;;BS
18;0.57;TrBE
19;0.13;TrBE
20;0.64;TrBE
21;1.13;TrBE
22;0.39;TrBE
23;-0.12;TrBE
24;0.56;TrBE
25;-1.73;TrBE
26;1.55;TrBE
27;0.03;TrBE
28;0.35;TrBE
29;0.65;TrBE
30;0.85;TrBE
31;-0.34;TrBE
32;-0.04;TrBE
33;1.39;TrBE
34;;TrBE
35;;TrBE
36;0.64;TrBR
37;0.91;TrBR
38;3.46;TrBR
39;2.28;TrBR
40;1.23;TrBR
41;-0.42;TrBR
42;0.73;TrBR
43;-1.19;TrBR
44;1.78;TrBR
45;-1.03;TrBR
46;-0.52;TrBR
47;0.10;TrBR
48;-1.45;TrBR
49;-0.04;TrBR
50;0.03;TrBR
51;0.63;TrBR
52;;TrBR
53;;TrBR
54;0.17;TeNE
55;0.11;TeNE
56;0.12;TeNE
57;0.24;TeNE
58;0.17;TeNE
59;0.04;TeNE
60;0.18;TeNE
61;0.15;TeNE
62;0.14;TeNE
63;0.06;TeNE
64;0.08;TeNE
65;0.13;TeNE
66;0.14;TeNE
67;0.16;TeNE
68;0.16;TeNE
69;-0.03;TeNE
70;;TeNE
71;;TeNE
72;-0.05;TeBE
73;-0.88;TeBE
74;-0.10;TeBE
75;0.05;TeBE
76;-0.38;TeBE
77;-0.72;TeBE
78;-0.16;TeBE
79;-0.82;TeBE
80;-1.49;TeBE
81;-1.42;TeBE
82;-0.35;TeBE
83;-0.69;TeBE
84;-0.86;TeBE
85;-0.49;TeBE
86;-0.31;TeBE
87;-0.55;TeBE
88;;TeBE
89;;TeBE
90;0.31;TeBS
91;0.35;TeBS
92;0.25;TeBS
93;0.32;TeBS
94;0.32;TeBS
95;0.26;TeBS
96;0.39;TeBS
97;0.18;TeBS
98;0.23;TeBS
99;-0.16;TeBS
100;0.10;TeBS
101;0.65;TeBS
102;0.38;TeBS
103;0.19;TeBS
104;0.53;TeBS
105;0.30;TeBS
106;;TeBS
107;;TeBS
108;-2.40;BNE
109;-1.06;BNE
110;-0.74;BNE
111;-1.27;BNE
112;-0.72;BNE
113;-1.06;BNE
114;-0.70;BNE
115;-0.75;BNE
116;-0.80;BNE
117;-1.57;BNE
118;-0.76;BNE
119;-1.01;BNE
120;-1.20;BNE
121;-1.07;BNE
122;-0.73;BNE
123;-0.82;BNE
124;;BNE
125;;BNE
126;-1.12;BBS
127;-0.77;BBS
128;-0.58;BBS
129;-0.89;BBS
130;-0.26;BBS
131;-0.58;BBS
132;-0.59;BBS
133;-0.55;BBS
134;-0.42;BBS
135;-0.42;BBS
136;-0.34;BBS
137;-0.49;BBS
138;-0.31;BBS
139;-0.63;BBS
140;-0.22;BBS
141;-0.25;BBS
142;;BBS
143;;BBS
144;-0.37;BNS
145;-0.03;BNS
146;-0.15;BNS
147;-0.18;BNS
148;-0.05;BNS
149;-0.26;BNS
150;-0.14;BNS
151;-0.11;BNS
152;-0.36;BNS
153;-0.70;BNS
154;-0.50;BNS
155;-0.65;BNS
156;-0.14;BNS
157;-0.33;BNS
158;-0.38;BNS
159;-0.72;BNS
160;;BNS
161;;BNS
162;-1.43;HC3
163;0.09;HC3
164;0.05;HC3
165;8.31;HC3
166;6.34;HC3
167;0.79;HC3
168;3.85;HC3
169;2.96;HC3
170;6.79;HC3
171;1.04;HC3
172;-0.21;HC3
173;3.92;HC3
174;2.41;HC3
175;-0.32;HC3
176;4.52;HC3
177;1.35;HC3
178;;HC3
179;;HC3
180;19.45;HC4
181;16.82;HC4
182;25.42;HC4
183;24.37;HC4
184;19.84;HC4
185;13.39;HC4
186;22.69;HC4
187;13.52;HC4
188;18.36;HC4
189;12.01;HC4
190;15.99;HC4
191;15.81;HC4
192;16.62;HC4
193;15.46;HC4
194;18.31;HC4
195;20.82;HC4
196;;HC4
197;;HC4
198;1.82;CC3
199;1.50;CC3
200;2.48;CC3
201;2.09;CC3
202;1.97;CC3
203;1.17;CC3
204;1.70;CC3
205;1.32;CC3
206;1.66;CC3
207;1.09;CC3
208;1.61;CC3
209;1.32;CC3
210;1.55;CC3
211;0.70;CC3
212;1.23;CC3
213;1.06;CC3
214;;CC3
215;;CC3
216;0.95;CC4
217;0.88;CC4
218;1.16;CC4
219;1.09;CC4
220;0.97;CC4
221;0.53;CC4
222;0.94;CC4
223;0.82;CC4
224;0.72;CC4
225;0.60;CC4
226;0.67;CC4
227;0.66;CC4
228;0.55;CC4
229;0.40;CC4
230;0.39;CC4
231;0.48;CC4
232;;CC4
233;;CC4
