;data;PFT
0;-352.97;BS
1;-361.41;BS
2;-381.12;BS
3;-386.21;BS
4;-346.15;BS
5;-441.34;BS
6;-394.21;BS
7;-253.62;BS
8;-239.73;BS
9;-503.57;BS
10;-453.48;BS
11;-366.46;BS
12;-348.29;BS
13;-294.56;BS
14;-477.09;BS
15;-423.71;BS
16;;BS
17;;BS
18;77.73;TrBE
19;53.51;TrBE
20;-21.53;TrBE
21;15.62;TrBE
22;-31.14;TrBE
23;-90.44;TrBE
24;-3.73;TrBE
25;-106.02;TrBE
26;-83.66;TrBE
27;-2.09;TrBE
28;13.44;TrBE
29;-6.34;TrBE
30;24.90;TrBE
31;14.03;TrBE
32;-62.97;TrBE
33;27.83;TrBE
34;;TrBE
35;;TrBE
36;-239.42;TrBR
37;-211.11;TrBR
38;-130.43;TrBR
39;-273.40;TrBR
40;-317.09;TrBR
41;-515.61;TrBR
42;-354.43;TrBR
43;-320.04;TrBR
44;-295.35;TrBR
45;-470.74;TrBR
46;-462.74;TrBR
47;-209.49;TrBR
48;-367.78;TrBR
49;-405.14;TrBR
50;-343.99;TrBR
51;-322.84;TrBR
52;;TrBR
53;;TrBR
54;-42.51;TeNE
55;-33.99;TeNE
56;-30.93;TeNE
57;-55.40;TeNE
58;-32.47;TeNE
59;-54.71;TeNE
60;-45.11;TeNE
61;-34.41;TeNE
62;-83.62;TeNE
63;-48.02;TeNE
64;-34.02;TeNE
65;-27.93;TeNE
66;-19.01;TeNE
67;-29.75;TeNE
68;-31.44;TeNE
69;-36.67;TeNE
70;;TeNE
71;;TeNE
72;-192.37;TeBE
73;-213.42;TeBE
74;-237.95;TeBE
75;-184.75;TeBE
76;-173.84;TeBE
77;-269.67;TeBE
78;-201.96;TeBE
79;-109.77;TeBE
80;-156.88;TeBE
81;-324.07;TeBE
82;-263.26;TeBE
83;-197.27;TeBE
84;-218.38;TeBE
85;-168.11;TeBE
86;-210.96;TeBE
87;-262.19;TeBE
88;;TeBE
89;;TeBE
90;-73.29;TeBS
91;-78.44;TeBS
92;-135.16;TeBS
93;-86.84;TeBS
94;-78.54;TeBS
95;-92.28;TeBS
96;-61.39;TeBS
97;-46.61;TeBS
98;-58.90;TeBS
99;-161.46;TeBS
100;-118.72;TeBS
101;-73.53;TeBS
102;-70.86;TeBS
103;-53.02;TeBS
104;-84.75;TeBS
105;-107.08;TeBS
106;;TeBS
107;;TeBS
108;105.13;BNE
109;39.66;BNE
110;32.33;BNE
111;48.62;BNE
112;32.83;BNE
113;67.96;BNE
114;33.62;BNE
115;32.58;BNE
116;37.56;BNE
117;65.79;BNE
118;31.39;BNE
119;44.49;BNE
120;52.19;BNE
121;39.58;BNE
122;29.42;BNE
123;39.00;BNE
124;;BNE
125;;BNE
126;49.74;BBS
127;31.03;BBS
128;21.05;BBS
129;30.45;BBS
130;13.72;BBS
131;48.41;BBS
132;27.87;BBS
133;24.34;BBS
134;21.43;BBS
135;24.80;BBS
136;10.65;BBS
137;30.75;BBS
138;16.53;BBS
139;22.25;BBS
140;9.40;BBS
141;20.74;BBS
142;;BBS
143;;BBS
144;16.96;BNS
145;1.11;BNS
146;5.68;BNS
147;5.63;BNS
148;2.12;BNS
149;12.74;BNS
150;5.66;BNS
151;3.87;BNS
152;13.21;BNS
153;25.85;BNS
154;17.83;BNS
155;21.93;BNS
156;6.69;BNS
157;11.55;BNS
158;12.76;BNS
159;26.65;BNS
160;;BNS
161;;BNS
162;-64.27;HC3
163;-110.58;HC3
164;-141.10;HC3
165;-182.24;HC3
166;-231.40;HC3
167;-208.04;HC3
168;-235.81;HC3
169;-203.12;HC3
170;-239.05;HC3
171;-241.99;HC3
172;-255.80;HC3
173;-185.16;HC3
174;-166.44;HC3
175;-220.90;HC3
176;-282.20;HC3
177;-293.46;HC3
178;;HC3
179;;HC3
180;-1947.75;HC4
181;-2023.88;HC4
182;-1900.93;HC4
183;-2181.59;HC4
184;-2087.49;HC4
185;-2842.01;HC4
186;-2735.16;HC4
187;-1585.91;HC4
188;-2414.43;HC4
189;-2622.42;HC4
190;-2902.90;HC4
191;-2150.98;HC4
192;-2650.38;HC4
193;-2001.52;HC4
194;-2927.07;HC4
195;-2573.95;HC4
196;;HC4
197;;HC4
198;-237.43;CC3
199;-284.75;CC3
200;-252.08;CC3
201;-296.91;CC3
202;-349.07;CC3
203;-325.46;CC3
204;-343.71;CC3
205;-304.65;CC3
206;-322.90;CC3
207;-368.58;CC3
208;-294.47;CC3
209;-243.24;CC3
210;-227.60;CC3
211;-314.89;CC3
212;-420.42;CC3
213;-335.15;CC3
214;;CC3
215;;CC3
216;-196.13;CC4
217;-225.63;CC4
218;-188.10;CC4
219;-247.73;CC4
220;-235.21;CC4
221;-287.54;CC4
222;-241.34;CC4
223;-201.87;CC4
224;-279.02;CC4
225;-256.07;CC4
226;-243.23;CC4
227;-199.97;CC4
228;-246.16;CC4
229;-231.57;CC4
230;-284.63;CC4
231;-248.86;CC4
232;;CC4
233;;CC4
