;site;pft;data;site;pft;data;site;pft;data;site;pft;data;site;pft;data;site;pft;data;site;pft;data;site;pft;data;site;pft;data;site;pft;data;site;pft;data;site;pft;data;site;pft;data;site;pft;data;site;pft;data;site;pft;data;site;pft;data
0;SA1;BS;0.000;SA2;BS;0.139;SA3;BS;11.188;NA1;BS;0.367;PORT;BS;0.143;KAZ;BS;0.056;RUS1;BS;0.030;MONG;BS;0.290;AFR1;BS;0.000;AFR2;BS;0.000;AFR3;BS;7.034;MAD;BS;0.021;AST1;BS;12.097;AST2;BS;3.333;AST3;BS;0.175;IND1;BS;0.000;BIRM;BS;1.845
1;SA1;TrBE;100.000;SA2;TrBE;2.846;SA3;TrBE;3.091;NA1;TrBE;0.000;PORT;TrBE;0.000;KAZ;TrBE;0.000;RUS1;TrBE;0.000;MONG;TrBE;0.000;AFR1;TrBE;0.126;AFR2;TrBE;99.974;AFR3;TrBE;0.000;MAD;TrBE;0.000;AST1;TrBE;0.000;AST2;TrBE;0.000;AST3;TrBE;0.000;IND1;TrBE;0.000;BIRM;TrBE;3.870
2;SA1;TrBR;0.000;SA2;TrBR;16.822;SA3;TrBR;13.068;NA1;TrBR;0.000;PORT;TrBR;0.000;KAZ;TrBR;0.000;RUS1;TrBR;0.000;MONG;TrBR;0.000;AFR1;TrBR;11.107;AFR2;TrBR;0.000;AFR3;TrBR;0.000;MAD;TrBR;0.360;AST1;TrBR;33.197;AST2;TrBR;0.000;AST3;TrBR;0.000;IND1;TrBR;8.527;BIRM;TrBR;29.680
3;SA1;TeNE;0.000;SA2;TeNE;0.000;SA3;TeNE;0.020;NA1;TeNE;0.000;PORT;TeNE;6.744;KAZ;TeNE;0.000;RUS1;TeNE;0.000;MONG;TeNE;0.000;AFR1;TeNE;0.000;AFR2;TeNE;0.000;AFR3;TeNE;0.000;MAD;TeNE;0.005;AST1;TeNE;0.175;AST2;TeNE;0.000;AST3;TeNE;0.001;IND1;TeNE;0.000;BIRM;TeNE;0.051
4;SA1;TeBE;0.000;SA2;TeBE;0.000;SA3;TeBE;0.000;NA1;TeBE;0.000;PORT;TeBE;1.335;KAZ;TeBE;0.000;RUS1;TeBE;0.000;MONG;TeBE;0.000;AFR1;TeBE;0.000;AFR2;TeBE;0.000;AFR3;TeBE;6.852;MAD;TeBE;0.051;AST1;TeBE;24.261;AST2;TeBE;20.431;AST3;TeBE;16.017;IND1;TeBE;6.967;BIRM;TeBE;0.000
5;SA1;TeBS;0.000;SA2;TeBS;0.000;SA3;TeBS;0.000;NA1;TeBS;0.039;PORT;TeBS;20.941;KAZ;TeBS;0.000;RUS1;TeBS;0.000;MONG;TeBS;0.000;AFR1;TeBS;0.000;AFR2;TeBS;0.000;AFR3;TeBS;6.852;MAD;TeBS;0.000;AST1;TeBS;0.000;AST2;TeBS;20.431;AST3;TeBS;17.004;IND1;TeBS;0.000;BIRM;TeBS;0.000
6;SA1;BNE;0.000;SA2;BNE;0.000;SA3;BNE;0.000;NA1;BNE;0.314;PORT;BNE;0.000;KAZ;BNE;0.010;RUS1;BNE;49.899;MONG;BNE;0.000;AFR1;BNE;0.000;AFR2;BNE;0.000;AFR3;BNE;0.000;MAD;BNE;0.000;AST1;BNE;0.000;AST2;BNE;0.000;AST3;BNE;0.000;IND1;BNE;0.000;BIRM;BNE;0.000
7;SA1;BBS;0.000;SA2;BBS;0.000;SA3;BBS;0.000;NA1;BBS;0.011;PORT;BBS;0.000;KAZ;BBS;0.074;RUS1;BBS;6.816;MONG;BBS;0.000;AFR1;BBS;0.000;AFR2;BBS;0.000;AFR3;BBS;0.000;MAD;BBS;0.000;AST1;BBS;0.000;AST2;BBS;0.000;AST3;BBS;0.000;IND1;BBS;0.000;BIRM;BBS;0.000
8;SA1;BNS;0.000;SA2;BNS;0.000;SA3;BNS;0.000;NA1;BNS;0.000;PORT;BNS;0.080;KAZ;BNS;0.000;RUS1;BNS;4.413;MONG;BNS;0.000;AFR1;BNS;0.003;AFR2;BNS;0.000;AFR3;BNS;0.000;MAD;BNS;0.001;AST1;BNS;0.040;AST2;BNS;0.000;AST3;BNS;0.000;IND1;BNS;0.000;BIRM;BNS;0.000
9;SA1;HC3;0.000;SA2;HC3;3.700;SA3;HC3;2.292;NA1;HC3;62.197;PORT;HC3;10.602;KAZ;HC3;67.397;RUS1;HC3;33.585;MONG;HC3;99.703;AFR1;HC3;2.763;AFR2;HC3;0.000;AFR3;HC3;3.962;MAD;HC3;4.965;AST1;HC3;1.511;AST2;HC3;2.790;AST3;HC3;3.140;IND1;HC3;0.312;BIRM;HC3;0.508
